,sentence,gender
3083,"i hope, my deare brother, that my many waighty affayr's in present may make my lawful excuse for the retardanse of the answer to your ambassadeurs charge, but i doute not but you shal be honorably satisfaict in all the pointz of his commission, and next, after my owne errand done, i must rendar you my innumerable thank's for suche amicable offers as hit hathe pleased you make, making you assured that, with gods grace, you shal neuer have cause to regrat your good thoghtz of my meaninge to deserue as muche good wil and affection as euer one prinse owed another, wisching all mean's that may maintaine your faithful trust in me, that neuer wyl seake aught but the increase of your honor and safty.",f
3084,"I was in mynd to haue sent you suche accidentz as this late monethe brought furthe, but the sufficienty of mastar archebal made me retaine him, and do rendar you many loving thank's for the joy you take of my narow escap from the chaw's of dethe, to wiche i might easely haue fallen but that the hand of the hiest saued me from that snare.",f
3085,"And for that the curse of that desaing rose up from the wicked sucgestion of the jesuites, wiche make hit an axceptable sacrifice to god, and meritorieus to themselfe, that a kinge not of ther profession shuld be murthered, therfor i could kip my pen no longar from discharging my care of your person, that you suffer not suche vipars to inhabite your lande.",f
3086,The say you gaue leue undar your hand that the might safely come and go.,f
3087,"For gods loue regard your surety aboue all perswations, and account him no subiect that intertain's them.",f
3088,"Make not edictz for skorne, but to be obserued.",f
3089,"Let them be rebelles, and so pronunsed, that preserue them.",f
3090,"For my part, i am sorier that the cast away so many goodly gentilmen than that the soght my ruine.",f
3091,I thanke god i haue taken more dolor for some that ar gilty of this murther than beare them malice that the soght my dethe.,f
3092,I protest hit before god.,f
3093,"But suche iniquity will not be hide, be hit neuer so craftely handeled; and yet, whan you shal here all, you wyl wondar that one accownted wize wyl use suche matter so fondly.",f
3094,"But no marvel, for whan the ar giuen to a reprobat sense the offen make suche slip.",f
3095,"I haue bine so tedious that i take pity of your paine, and so wyl inde this skribling, praying you beliue that you could neuer haue chosen a more sure trust that wil neuer begile than myself, who dayly pray's to god for your longe prosperity.",f
3096,"Your most assured louing sistar and cousin,    elizabe r.",f
3097,(\a mounsieur mon bon frere et cousin le roy d'escose.\),f
3098,"my deare brother, hit hathe sufficiently infourmed me of your singular care of my estat and brething that you haue sent one, in suche diligence, to understand the circumstancis of the treasons wiche lately wer lewdly attempted and miraculously vttred.",f
3099,Of whiche i had made participant your embassador afor your lettars came.,f
3100,"And now am i to shewe you, that, as i haue receaved many writings from you all of great kindnis, yet this last was fraughted with so careful passion, and so effectual utteranse of all best wisch's for my safety, and offer of as muche as i could haue desired, that i confes, if i shuld not seake to decerue it, and by merit's tye you to continuance, i wer ivell-wordy suche a frind; and, as the thank's my hart yeld's my pen may skant rendar you, so shal the ownar euer decerue to shewe hit not ivel imploied, but on suche a prinse as will requite your good wyl, and kip a wacheful yee to all doings that may conserne you.",f
3101,"And whereas you offer to send me any traitor of myne residing in your land, i shal not faille but expect th'accomplischement of the same in case any suche shal be, and require you, in the menetime, that spidy deliuerye may be maid of the cars, wiche touche bothe my consciense and honor.",f
3102,"I thanke god that you beware so sone of jesuites, that haue bine the source of al th's trecheri's in this realme, and wyl sprede, like an iuel, wide, if at the first the be not wided out.",f
3103,"I wold i had had prometheus for companion, for epimetheus had like have bine myne to sone.",f
3104,"What religion is this, that the say the way to saluation is to kil the prinse for a merit meritorious? this is that the haue all confessed without tortur or menace.",f
3105,"I swere hit, on my worde.",f
3106,"Far be hit from skotland to harbor any suche, and therfor i wische your good providense may be duly executed, for elz law's resemble cobwebbes, whens great be's get out by breaking, and smal fli's stiks fast for wekenis.",f
3107,"As concerning the retarding of your answers to al pointz of your ambassadors charge, you had receved them or now but that matters of that weight that i am sure you wold willingly knowe can not as yet receaue a conclusion, and til that mastar douglas do tarye; and with his retourne i hope you shal receaue honorable requital of his amicable embassade, so as you shal have no cause to regret his arrival; as know the lord, whom ever i beseche to send you many joiful day's of raigne and life.",f
3108,"Your most assured louing and faithful sistar and cousin,    elizabe r.",f
3109,"I must giue you many thank's for this poore subject of myne, for whom i wil not stik to do al pleasure for your request, and wold wische him undar the grond if he shuld not serue you with greatest faithe that any seruant may.",f
3110,I haue wylled him tel you some thing's from me; i beseche you heare them fauorably.,f
3111,(\a mon bon frere e cousin le roy d'escose.\),f
3112,"i finde myselfe so trobled lest sinistar tal's might delude you, my good brother, that i haue willingly found out this messanger, whom i knowe most sincere to you all and a true subiect to me, to carry onto you my most sincere meaning toward you, and to request this iust desiar, that you neuer dout my intiere good wyll in your behalfe; and do protest, that, if you knewe, even sins the arrival of your commissionars, (wiche if the list the may tell you all,) the exstreme dangier my life was in, by an embassadors honest silence, if not invention, and suche good complic's as haue themselues, by godz permission, unfolded the hole conspiratie, and haue aduouched hit befor his face, thoght hit be the peril of ther owne lives, yet voluntaryly, one of them neuer beinge suspected brake hit with a councelar to make me acquanted therwith.",f
3113,"You may see where i kip the serpent that poisons me, whan the conf's to haue reward.",f
3114,By sauing of her life the wold haue had mine.,f
3115,"Do i not make myself, trowe you all, a goodly pray for euery wretche to deuour? transfigure yourself into my state, and suppose what you aught to do, and therafter way my life, and reiect the care of murdar, and shun all bait's that may unty our amities, and let all men knowe, that princ's knowe best their owne lawes, and misiuge not that you knowe not.",f
3116,"For my part, i wyl not liue to wronge the menest.",f
3117,"And so i conclude you with your owne wordes, you wyl prosecute or mislike as muche thos that seake my ruine as yf the sought your hart bloud, and wold i had none in myne if i wold not do the like; as god know, to whom i make my humble prayers to inspire you with best desiars.",f
